1	ชิณคัณ	A+	24	อาทิตย์, เสาร์, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คัน	มีปัญญา และมีความรู้
2	ชิณคัน	A+	24	อาทิตย์, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คัน	มีปัญญา มีความรู้ และอ่อนโยน
3	ชิณคัม	A+	24	อาทิตย์, เสาร์, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คัม	มีปัญญา มีความรู้ และมีเมตตา
5	ชิณคิณ	A+	24	อาทิตย์, เสาร์, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คิน	มีปัญญา และมีความรู้
6	ชิณคิน	A+	24	อาทิตย์, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คิน	มีปัญญา มีความรู้ และอ่อนโยน
7	ชิณคิม	A+	24	อาทิตย์, เสาร์, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คิม	มีปัญญา มีความรู้ และมีเมตตา
9	ชิณธัณ	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทัน	มีปัญญา และมีคุณธรรม
10	ชิณธัน	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทัน	มีปัญญา มีคุณธรรม และอ่อนโยน
11	ชิณธัม	A+	24	อาทิตย์, อังคาร, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทัม	มีปัญญา มีคุณธรรม และมีเมตตา
13	ชิณธิณ	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทิน	มีปัญญา และมีคุณธรรม
14	ชิณธิน	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทิน	มีปัญญา มีคุณธรรม และอ่อนโยน
15	ชิณธิม	A+	24	อาทิตย์, อังคาร, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทิม	มีปัญญา มีคุณธรรม และมีเมตตา
17	ชิณรัณ	A+	24	อาทิตย์, อังคาร, เสาร์, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-รัน	มีปัญญา และรุ่งเรือง
18	ชิณรัน	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-รัน	มีปัญญา รุ่งเรือง และอ่อนโยน
19	ชิณรัม	A+	24	อาทิตย์, อังคาร, เสาร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-รัม	มีปัญญา รุ่งเรือง และมีเมตตา
21	ชิณริณ	A+	24	อาทิตย์, อังคาร, เสาร์, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ริน	มีปัญญา และรุ่งเรือง
22	ชิณริน	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ริน	มีปัญญา รุ่งเรือง และอ่อนโยน
23	ชิณริม	A+	24	อาทิตย์, อังคาร, เสาร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ริม	มีปัญญา รุ่งเรือง และมีเมตตา
25	ชินคัณ	A+	24	อาทิตย์, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คัน	อ่อนโยน มีความรู้ และมีปัญญา
26	ชินคัน	A+	24	อาทิตย์, พฤหัสบดี, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คัน	อ่อนโยน และมีความรู้
27	ชินคัม	A+	24	อาทิตย์, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คัม	อ่อนโยน มีความรู้ และมีเมตตา
28	ชินคัห	A+	24	พฤหัสบดี, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คะ-หะ	อ่อนโยน มีความรู้ และเข้มแข็ง
29	ชินคิณ	A+	24	อาทิตย์, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คิน	อ่อนโยน มีความรู้ และมีปัญญา
30	ชินคิน	A+	24	อาทิตย์, พฤหัสบดี, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คิน	อ่อนโยน และมีความรู้
31	ชินคิม	A+	24	อาทิตย์, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-คิม	อ่อนโยน มีความรู้ และมีเมตตา
33	ชินธัณ	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทัน	อ่อนโยน มีคุณธรรม และมีปัญญา
34	ชินธัน	A+	24	อาทิตย์, อังคาร, พฤหัสบดี, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทัน	อ่อนโยน และมีคุณธรรม
35	ชินธัม	A+	24	อาทิตย์, อังคาร, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทัม	อ่อนโยน มีคุณธรรม และมีเมตตา
37	ชินธิณ	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทิน	อ่อนโยน มีคุณธรรม และมีปัญญา
38	ชินธิน	A+	24	อาทิตย์, อังคาร, พฤหัสบดี, พุธ(กลางคืน), ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทิน	อ่อนโยน และมีคุณธรรม
39	ชินธิม	A+	24	อาทิตย์, อังคาร, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ทิม	อ่อนโยน มีคุณธรรม และมีเมตตา
41	ชินรัณ	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-รัน	อ่อนโยน รุ่งเรือง และมีปัญญา
42	ชินรัน	A+	24	อาทิตย์, อังคาร, พฤหัสบดี, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-รัน	อ่อนโยน และรุ่งเรือง
43	ชินรัม	A+	24	อาทิตย์, อังคาร, พฤหัสบดี	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-รัม	อ่อนโยน รุ่งเรือง และมีเมตตา
45	ชินริณ	A+	24	อาทิตย์, อังคาร, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ริน	อ่อนโยน รุ่งเรือง และมีปัญญา
46	ชินริน	A+	24	อาทิตย์, อังคาร, พฤหัสบดี, พุธ(กลางคืน)	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ริน	อ่อนโยน และรุ่งเรือง
47	ชินริม	A+	24	อาทิตย์, อังคาร, พฤหัสบดี	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิน-ริม	อ่อนโยน รุ่งเรือง และมีเมตตา
49	ชิมคัณ	A+	24	อาทิตย์, เสาร์, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิม-คัน	มีเมตตา มีความรู้ และมีปัญญา
50	ชิมคัน	A+	24	อาทิตย์, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิม-คัน	มีเมตตา มีความรู้ และอ่อนโยน
51	ชิมคัม	A+	24	อาทิตย์, เสาร์, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิม-คัม	มีเมตตา และมีความรู้
53	ชิมคิณ	A+	24	อาทิตย์, เสาร์, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิม-คิน	มีเมตตา มีความรู้ และมีปัญญา
54	ชิมคิน	A+	24	อาทิตย์, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิม-คิน	มีเมตตา มีความรู้ และอ่อนโยน
55	ชิมคิม	A+	24	อาทิตย์, เสาร์, พฤหัสบดี, ศุกร์	24🟢 - 45🟢 - 54🟢 - 44🟢 - 45🟢	ชิม-คิม	มีเมตตา และมีความรู้
